fecha,indice_tramo2
2006-11-01,125.28
2006-12-01,127.32
2007-01-01,128.74
2007-02-01,129.59
2007-03-01,130.94
2007-04-01,133.91
2007-05-01,136.7
2007-06-01,140.33
2007-07-01,143.91
2007-08-01,148.69
2007-09-01,151.67
2007-10-01,153.84
2007-11-01,153.22
2007-12-01,154.72
2008-01-01,157.85
2008-02-01,161.38
2008-03-01,167.94
2008-04-01,172.96
2008-05-01,173.39
2008-06-01,177.59
2008-07-01,180.08
2008-08-01,181.55
2008-09-01,183.51
2008-10-01,184.58
2008-11-01,185.76
2008-12-01,186.59
2009-01-01,188.75
2009-02-01,188.73
2009-03-01,193.14
2009-04-01,196.66
2009-05-01,198.36
2009-06-01,199.41
2009-07-01,201.41
2009-08-01,205.15
2009-09-01,208.31
2009-10-01,211.77
2009-11-01,214.2
2009-12-01,221.06
2010-01-01,225.96
2010-02-01,235.8
2010-03-01,242.0
2010-04-01,245.31
2010-05-01,249.19
2010-06-01,251.9
2010-07-01,255.59
2010-08-01,258.3
2010-09-01,262.4
2010-10-01,270.97
2010-11-01,276.11
2010-12-01,280.81
2011-01-01,283.9
2011-02-01,286.96
2011-03-01,294.59
2011-04-01,302.24
2011-05-01,307.5
2011-06-01,312.13
2011-07-01,317.56
2011-08-01,325.28
2011-09-01,331.52
2011-10-01,335.17
2011-11-01,339.83
2011-12-01,346.17
2012-01-01,350.17
2012-02-01,355.32
2012-03-01,367.36
2012-04-01,374.71
2012-05-01,381.86
2012-06-01,386.96
2012-07-01,396.57
2012-08-01,400.62
2012-09-01,406.92
2012-10-01,413.0
2012-11-01,420.84
2012-12-01,425.81
2013-01-01,432.91
2013-02-01,443.76
2013-03-01,454.75
2013-04-01,462.18
2013-05-01,471.01
2013-06-01,482.06
2013-07-01,492.97
2013-08-01,502.33
2013-09-01,511.88
2013-10-01,529.01
2013-11-01,544.12
2013-12-01,561.83
2014-01-01,585.34
2014-02-01,627.32
2014-03-01,652.39
2014-04-01,665.85
2014-05-01,682.84
2014-06-01,695.13
2014-07-01,708.81
2014-08-01,726.63
2014-09-01,749.11
2014-10-01,758.51
2014-11-01,769.64
2014-12-01,780.99
2015-01-01,792.74
2015-02-01,808.61
2015-03-01,825.24
2015-04-01,840.29
2015-05-01,856.74
2015-06-01,866.25
2015-07-01,886.21
2015-08-01,903.18
2015-09-01,925.23
2015-10-01,938.03
2015-11-01,964.96
2015-12-01,1027.54
2016-01-01,1070.62
2016-02-01,1099.66
2016-03-01,1132.39
2016-04-01,1170.83
2016-05-01,1219.86
2016-06-01,1237.74
2016-07-01,1265.75
2016-08-01,1273.8
2016-09-01,1295.28
2016-10-01,1321.6
2016-11-01,1339.02
2016-12-01,1350.48
2017-01-01,1366.86
